"Related Search Terms","Cụm từ tìm kiếm có liên quan"
"Add New Search Term","Thêm cụm từ tìm kiếm mới"
"button_label","button_label"
"Missing search engine parameter.","Missing search engine parameter."
"Successful! Test again?","Thành công! Kiểm tra một lần nữa?"
"Connection failed! Test again?","Connection failed! Test again?"
"Enable Search Recommendations","Enable Search Recommendations"
"When you enable this option your site may slow down.","When you enable this option your site may slow down."
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Search Suggestions","Enable Search Suggestions"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"ID","ID"
"Search Query","Truy vấn tìm kiếm"
"Store","Cửa hàng"
"Results","Kết quả"
"Uses","Số Lần Sử Dụng"
"Redirect URL","Chuyển hướng URL"
"Suggested Term","Suggested Term"
"Yes","Có"
"No","No"
"Action","Thao tác"
"Edit","Chỉnh sửa"
