"Future Update in this time range already exists. Select a different range to add a new Future Update.","Cập nhật trong tương lai trong khoảng thời gian này đã tồn tại. Chọn khoảng thời gian khác để thêm Cập nhật trong tương lai mới."
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2"
"ID","ID"
"Rule","Quy tắc"
"Coupon Code","Mã Phiếu giảm giá"
"Priority","Độ ưu tiên"
"Status","Trạng thái"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"Web Site","Trang Web"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"Scheduled Changes","Lịch trình thay đổi"
"Name","Tên"
"Description","Mô tả"
"Update Information","Cập nhật thông tin"
"Remove Cart Price Rule from Campaign","Xóa giỏ hàng giá quy tắc từ chiến dịch"
"Update Name","Cập Nhật tên"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Rule Information","Thông tin quy tắc"
"Websites","Các trang web"
"Customer Groups","Nhóm khách hàng"
"Public In RSS Feed","Các khu vực trong RSS Feed"
"Conditions","Điều kiện"
"Actions","Thao tác"
"Apply","Áp dụng"
"Discount Amount","Lượng chiết khấu"
"Maximum Qty Discount is Applied To","Số lượng giảm giá tối đa là áp dụng cho"
"Discount Qty Step (Buy X)","Bước số lượng giảm giá (mua X)"
"Apply to Shipping Amount","Áp dụng cho số lượng vận chuyển"
"Discard subsequent rules","Loại bỏ các quy tắc"
"Labels","Tên"
"Default Rule Label for All Store Views","Nhãn hiệu quy tắc mặc định cho tất cả các cửa hàng lượt xem"
"Save as a New Update","Lưu như một bản cập nhật mới"
"Move to Another Campaign","Di chuyển đến một chiến dịch khác"
"Delete the Update","Xóa bỏ bản Cập Nhật"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Xóa các Cập Nhật sẽ loại bỏ cart price rule từ chiến dịch này và tất cả thay đổi dự kiến sẽ bị mất."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Start Time","Thời Gian Bắt Đầu"
"End Time","Thời gian kết thúc"
"Cart Price Rules","Cart Price Rules"
